Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
IPR001130	3'-5' ssDNA/RNA exonuclease TatD-like	interpro	family		cd01310,PF01026,PIRSF005902	GO:0016788
IPR001162	UvrC, RNAse H endonuclease domain	interpro	domain		PS50165,PF08459	GO:0009381
IPR001205	RNA-directed RNA polymerase, C-terminal domain	interpro	domain		PF00680	GO:0003723,GO:0003968,GO:0006351
IPR001233	RNA-splicing ligase, RtcB	interpro	family		PF01139,PS01288,PTHR11118	GO:0008452,GO:0006396
IPR001247	Exoribonuclease, phosphorolytic domain 1	interpro	domain		PF01138	
IPR001269	tRNA-dihydrouridine synthase	interpro	family		PIRSF006621	GO:0017150,GO:0050660,GO:0008033
IPR001278	Arginine-tRNA ligase	interpro	family		MF_00123,TIGR00456,PTHR11956,PR01038	GO:0004814,GO:0005524,GO:0006420
IPR001313	Pumilio RNA-binding repeat	interpro	repeat		PF22493,PF00806,PS50302,SM00025	GO:0003723
IPR001328	Peptidyl-tRNA hydrolase	interpro	family		cd00462,MF_00083,PF01195,TIGR00447,PTHR17224	GO:0004045
IPR001339	mRNA capping enzyme, adenylation domain	interpro	domain		cd07895,PF01331	GO:0004484,GO:0005524,GO:0006370
IPR001352	Ribonuclease HII/HIII	interpro	family		PTHR10954	GO:0003723,GO:0004523
IPR001407	Influenza RNA-dependent RNA polymerase subunit PB1	interpro	family		PIRSF000827,MF_04065,PF00602	GO:0003723,GO:0003968,GO:0039694
IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	interpro	conserved_site		PS00178	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR001427	Pancreatic ribonuclease	interpro	family		PTHR11437,PR00794	GO:0003676
IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site	interpro	conserved_site		PS00446	GO:0003677,GO:0003899,GO:0006351
IPR001529	DNA-directed RNA polymerase, M/15kDa subunit	interpro	domain		SM00661,PF02150	GO:0006351
IPR001537	tRNA/rRNA methyltransferase, SpoU type	interpro	domain		PF00588	GO:0003723,GO:0008173,GO:0006396
IPR001566	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	interpro	family		MF_01010	GO:0003723,GO:0008173,GO:0006396
IPR001568	Ribonuclease T2-like	interpro	family		PTHR11240,PF00445	GO:0003723,GO:0033897
IPR001587	Ribonuclease J, conserved site	interpro	conserved_site		PS01292	
IPR001591	Influenza RNA-dependent RNA polymerase subunit PB2	interpro	family		MF_04062	GO:0003723,GO:0039694
IPR001604	DNA/RNA non-specific endonuclease/pyrophosphatase/phosphodiesterase domain	interpro	domain		SM00892,PF01223	GO:0003676,GO:0016787,GO:0046872
IPR001676	Picornavirus capsid	interpro	domain		PF00073	GO:0005198
IPR001726	DNA nucleotidylexotransferase (TdT) / DNA-directed DNA/RNA polymerase mu	interpro	family		PIRSF000817,PR00871	GO:0034061
IPR001737	Ribosomal RNA adenine methyltransferase KsgA/Erm	interpro	family		PS51689,PTHR11727,PF00398	
IPR001748	Pre-mRNA-splicing factor BUD31	interpro	family		PF01125,PTHR19411,PR00322	GO:0005634
IPR001788	RNA-dependent RNA polymerase, alsuviricetes	interpro	domain		PF00978	GO:0003723,GO:0003968,GO:0006351
IPR001795	RNA-directed RNA polymerase, luteovirus	interpro	family		PF02123,PR00914	GO:0003723,GO:0003968,GO:0006351
IPR001887	Barnase	interpro	family		cd00933,PR00117,PIRSF001013	GO:0003723,GO:0004521
IPR001890	RNA-binding, CRM domain	interpro	domain		SM01103,PS51295,PF01985	GO:0003723
IPR001900	Ribonuclease II/R	interpro	domain		SM00955,PF00773	GO:0003723,GO:0004540
IPR002078	RNA polymerase sigma factor 54 interaction domain	interpro	domain		PF14532,PF00158,PS50045	GO:0005524,GO:0008134,GO:0006355
IPR002092	DNA-directed RNA polymerase, phage-type	interpro	family		PS00489,PS00900,PTHR10102	GO:0003677,GO:0003899,GO:0006351
IPR002156	Ribonuclease H domain	interpro	domain		PF13456,PF00075,PS50879	GO:0003676,GO:0004523
IPR002166	RNA dependent RNA polymerase, hepatitis C virus	interpro	family		PF00998	GO:0003723,GO:0003968,GO:0039694
IPR002218	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related	interpro	family		PTHR11806	GO:0050660,GO:0008033
IPR002300	Aminoacyl-tRNA synthetase, class Ia	interpro	domain		PF00133	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002301	Isoleucine-tRNA ligase	interpro	family		PR00984,TIGR00392	GO:0000166,GO:0004822,GO:0005524,GO:0006428
IPR002302	Leucine-tRNA ligase	interpro	family		PTHR43740,MF_00049_B,TIGR00396,PR00985	GO:0000166,GO:0004823,GO:0005524,GO:0006429
IPR002303	Valine-tRNA ligase	interpro	family		MF_02004,TIGR00422,PTHR11946,PR00986	GO:0000166,GO:0004832,GO:0005524,GO:0006438
IPR002305	Aminoacyl-tRNA synthetase, class Ic	interpro	family		PF00579	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002306	Tryptophan-tRNA ligase	interpro	family		cd00806,PR01039,TIGR00233	GO:0000166,GO:0004830,GO:0005524,GO:0006436
IPR002307	Tyrosine-tRNA ligase	interpro	family		cd00805,TIGR00234,PR01040	GO:0000166,GO:0004831,GO:0005524,GO:0006437
IPR002310	Glycine-tRNA ligase, alpha subunit	interpro	family		cd00733,MF_00254,TIGR00388,PF02091,PR01044	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb	interpro	family		PR01042	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002313	Lysine-tRNA ligase, class II	interpro	family		MF_00252,TIGR00499	GO:0004824,GO:0005524,GO:0006430
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	interpro	domain		PF00587	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002315	Glycyl-tRNA synthetase	interpro	family		TIGR00389	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002316	Proline-tRNA ligase, class IIa	interpro	family		PR01046	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR002317	Serine-tRNA ligase, type1	interpro	family		MF_00176,TIGR00414,PIRSF001529,PTHR11778,PR00981	GO:0000166,GO:0004828,GO:0005524,GO:0006434
IPR002318	Alanine-tRNA ligase, class IIc	interpro	family		TIGR00344,PR00980	GO:0000166,GO:0005737
IPR002319	Phenylalanyl-tRNA synthetase	interpro	domain		PF01409	GO:0000049,GO:0004812,GO:0005524,GO:0043039
IPR002320	Threonine-tRNA ligase, class IIa	interpro	family		MF_00184,TIGR00418,PR01047	GO:0004829,GO:0005524,GO:0006435,GO:0005737
IPR002343	Paraneoplastic encephalomyelitis antigen	interpro	family		PR00961	GO:0003723,GO:1990904
IPR002381	Ribonuclease PH, bacterial-type	interpro	family		cd11362,MF_00564,TIGR01966	GO:0000049,GO:0009022,GO:0008033
IPR002463	Ornatin	interpro	family		PF02088,PR01184	GO:0007155,GO:0030193,GO:0005576
IPR002464	DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site	interpro	conserved_site		PS00690	
IPR002508	N-acetylmuramoyl-L-alanine amidase, catalytic domain	interpro	domain		cd02696,SM00646,PF01520	GO:0008745,GO:0009253
IPR002527	Picornavirus 2B protein	interpro	domain		PF01552	
IPR002547	tRNA-binding domain	interpro	domain		PS50886,PF01588	GO:0000049
IPR002616	tRNA-guanine(15) transglycosylase-like	interpro	domain		PF01702,TIGR00449	GO:0006400
IPR002649	tRNA (guanine-N1-)-methyltransferase TrmD	interpro	family		cd18080,PTHR46417,MF_00605,PIRSF000386,TIGR00088	GO:0052906,GO:0008033
IPR002662	Birnavirus VP2 protein	interpro	family		PF01766	GO:0005198
IPR002663	Birnavirus VP3 protein	interpro	family		PF01767	GO:0005198
IPR002680	Alternative oxidase	interpro	family		cd01053,PTHR31803,PF01786,PIRSF005229	GO:0009916
IPR002738	RNase P subunit p30	interpro	family		PF01876,PTHR13031	GO:0008033
IPR002739	RNA-binding protein PAB1135-like	interpro	family		PTHR39652,MF_01112,PF01877	
IPR002759	RNase P subunit Pop5/Rpp14/Rnp2-like	interpro	family		MF_00755,PF01900	GO:0001682,GO:0030677
IPR002775	DNA/RNA-binding protein Alba-like	interpro	domain		PF01918	GO:0003676
IPR002782	Mut7-C RNAse domain	interpro	domain		PF01927	
IPR002833	Peptidyl-tRNA hydrolase, PTH2	interpro	family		cd02430,PF01981,PTHR12649,TIGR00283	GO:0004045
IPR002845	tRNA ribose 2'-O-methyltransferase, aTrm56	interpro	family		PTHR42197,MF_00077,PF01994,PIRSF016123	GO:0008175,GO:0002128,GO:0005737
IPR002877	Ribosomal RNA methyltransferase, FtsJ domain	interpro	domain		PF01728	GO:0008168,GO:0032259
IPR002903	Ribosomal RNA small subunit methyltransferase H	interpro	family		PTHR11265,MF_01007,PF01795,PIRSF004486,TIGR00006	GO:0008168
IPR002904	Lysine-tRNA ligase	interpro	family		PTHR37940,MF_00177,TIGR00467,PF01921	GO:0000166,GO:0004824,GO:0005524,GO:0006430,GO:0005737
IPR002905	tRNA methyltransferase, Trm1	interpro	family		PTHR10631,PS51626,PF02005,TIGR00308	GO:0003723,GO:0016423,GO:0008033
IPR002942	RNA-binding S4 domain	interpro	domain		PF01479,SM00363	GO:0003723
IPR003138	Picornavirus coat protein VP4	interpro	family		PF02226	GO:0005198,GO:0019028
IPR003182	RNA2 polyprotein	interpro	family		PF02248	GO:0046740,GO:0019028,GO:0044219
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type	interpro	family		PS51625,MF_01057,PF02390,PTHR23417,TIGR00091	GO:0008176,GO:0006400
IPR003442	tRNA threonylcarbamoyl adenosine modification protein TsaE	interpro	family		TIGR00150,PF02367	GO:0002949
IPR003477	mRNA interferase PemK-like	interpro	family		PTHR33988,PF02452,PIRSF033490	GO:0003677
IPR003489	Ribosome hibernation promoting factor/RaiA	interpro	family		cd00552,PF02482,TIGR00741	GO:0044238
IPR003676	Small auxin-up RNA	interpro	family		PTHR35296,PTHR31374,PTHR31929,PTHR31175,PF02519	GO:0009733
IPR003682	rRNA small subunit methyltransferase G	interpro	family		PTHR31760,MF_00074,PIRSF003078,TIGR00138,PF02527	GO:0008649,GO:0006364,GO:0005737
IPR003699	S-adenosylmethionine:tRNA ribosyltransferase-isomerase, QueA	interpro	family		PTHR30307,MF_00113,PF02547,TIGR00113	GO:0016740,GO:0016853
IPR003711	CarD-like/TRCF, RNAP-interacting domain	interpro	domain		SM01058,PF02559	
IPR003716	DNA-directed RNA polymerase, omega subunit	interpro	family		PTHR34476,MF_00366,TIGR00690	GO:0003899,GO:0006351
IPR003720	tRNA sulfurtransferase ThiI	interpro	family		MF_00021	GO:0016783,GO:0034227
IPR003732	D-aminoacyl-tRNA deacylase DTD	interpro	family		cd00563,MF_00518,PF02580,TIGR00256,PTHR10472	GO:0002161,GO:0051499,GO:0005737
IPR003742	RNA methyltransferase RlmH	interpro	family		cd18081,PTHR33603,MF_00658,PIRSF004505,TIGR00246,PF02590	GO:0008168,GO:0006364
IPR003750	Putative RNA methyltransferase	interpro	family		cd18086,PF02598,PTHR12150	
IPR003772	Large ribosomal RNA subunit accumulation protein YceD	interpro	family		PF02620	
IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like	interpro	homologous_superfamily		SSF89095	GO:0016884
IPR003827	tRNA wybutosine-synthesizing protein	interpro	domain		PF02676	
IPR003837	Glu-tRNAGln amidotransferase C subunit	interpro	family		MF_00122,PF02686,TIGR00135,PTHR15004	GO:0006450
IPR003954	RNA recognition motif domain, eukaryote	interpro	domain		SM00361	GO:0003676
IPR004175	RNA 2',3'-cyclic phosphodiesterase	interpro	family		PTHR35561,TIGR02258,MF_01940	GO:0004113,GO:0008664
IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal	interpro	domain		PF02912	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004206	mRNA triphosphatase Cet1-like	interpro	domain		cd07470,PF02940	GO:0004651
IPR004284	Birnavirus VP5 protein	interpro	family		PF03042	
IPR004341	CAT RNA-binding domain	interpro	domain		SM01061,PF03123	GO:0003723
IPR004349	Vanadium/alternative nitrogenase delta subunit	interpro	family		PF03139	GO:0016163,GO:0009399
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)	interpro	domain		PF00152	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	interpro	domain		PF01336	GO:0003676
IPR004369	Prolyl-tRNA editing protein, YbaK/EbsC	interpro	family		cd00002,TIGR00011,PIRSF006181	
IPR004383	Ribosomal RNA large subunit methyltransferase RlmN/Cfr	interpro	family		SFLDF00275,PIRSF006004	GO:0008173,GO:0006364
IPR004384	RNA methyltransferase TrmJ/LasT	interpro	family		PTHR42786,PIRSF004808,TIGR00050	GO:0008173,GO:0006396
IPR004398	RNA methyltransferase, RsmD	interpro	family		PTHR43542,PIRSF004553,TIGR00095	GO:0008168,GO:0031167
IPR004412	Glutamyl-tRNA(Gln) amidotransferase A subunit	interpro	family		MF_00120,TIGR00132	GO:0050567,GO:0006412,GO:0030956
IPR004413	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	interpro	family		MF_00121,TIGR00133	GO:0016884
IPR004414	Glutamyl-tRNA(Gln) amidotransferase subunit E	interpro	family		MF_00588,TIGR00134	GO:0016884
IPR004416	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	interpro	family		MF_00129,TIGR00136	GO:0002098
IPR004417	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO	interpro	family		MF_01037,TIGR00137	GO:0047151,GO:0050660,GO:0008033,GO:0005737
IPR004441	RNA methyltransferase TrmH	interpro	family		PTHR46429,TIGR00186	GO:0008173,GO:0006396
IPR004466	Ribonuclease M5	interpro	family		MF_01469,TIGR00334	GO:0043822
IPR004476	Ribonuclease II/ribonuclease R	interpro	family		TIGR00358	GO:0003723,GO:0004540,GO:0016070
IPR004493	Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic	interpro	family		PTHR45794,TIGR00395	GO:0000166,GO:0004823,GO:0005524,GO:0006429
IPR004495	Methionyl-tRNA synthetase, beta subunit, C-terminal	interpro	domain		cd02800,TIGR00399	GO:0000166,GO:0004825,GO:0005524,GO:0006431
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type	interpro	family		PTHR43382,MF_01571,TIGR00408	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004500	Prolyl-tRNA synthetase, class IIa, bacterial-type	interpro	family		TIGR00409	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004503	Serine-tRNA ligase type 2, archaea	interpro	family		MF_01278,TIGR00415	GO:0000166,GO:0004828,GO:0005524,GO:0006434,GO:0005737
IPR004506	tRNA-specific 2-thiouridylase	interpro	family		cd01998,MF_00144,TIGR00420	GO:0016740,GO:0008033
IPR004512	Ribosomal RNA methyltransferase E, gammaproteobacteria	interpro	family		TIGR00438	GO:0016436,GO:0006364
IPR004514	Glutamine-tRNA synthetase	interpro	family		TIGR00440	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR004516	Histidine-tRNA ligase/ATP phosphoribosyltransferase regulatory subunit	interpro	family		PTHR43707,PIRSF001549	GO:0005737
IPR004519	DNA-directed RNA polymerase, subunit E/RPC8	interpro	family		TIGR00448	GO:0003677,GO:0003899,GO:0006351
IPR004520	tRNA modification GTPase MnmE	interpro	family		MF_00379,TIGR00450	GO:0003924,GO:0005525,GO:0006400
IPR004522	Asparagine-tRNA ligase	interpro	family		MF_00534,TIGR00457	GO:0000166,GO:0004816,GO:0005524,GO:0006421
IPR004523	Aspartate-tRNA synthetase, type 2	interpro	family		MF_02075,PTHR43450,TIGR00458	GO:0000166,GO:0004815,GO:0005524,GO:0006422,GO:0005737
IPR004524	Aspartate-tRNA ligase, type 1	interpro	family		MF_00044,TIGR00459	GO:0005524,GO:0016874
IPR004526	Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic	interpro	family		MF_02076,TIGR00463	GO:0000166,GO:0004818,GO:0005524,GO:0006424,GO:0005737
IPR004527	Glutamate-tRNA ligase, bacterial/mitochondrial	interpro	family		MF_00022,TIGR00464	GO:0000166,GO:0004818,GO:0005524,GO:0006424
IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	interpro	family		TIGR00468	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004530	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial	interpro	family		TIGR00469	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archaeal/eukaryotic type	interpro	family		TIGR00471	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004532	Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type	interpro	family		MF_00283,TIGR00472	GO:0000287,GO:0004826,GO:0005524,GO:0006432
IPR004534	L-seryl-tRNA(Sec) selenium transferase	interpro	family		MF_00423,TIGR00474	GO:0004125,GO:0001514,GO:0005737
IPR004538	Hemolysin A /rRNA methyltransferase TlyA	interpro	family		PIRSF005578,TIGR00478	
IPR004573	rRNA small subunit methyltransferase B	interpro	family		TIGR00563	GO:0008649,GO:0006364
IPR004613	Ribonuclease J	interpro	family		TIGR00649	GO:0003723,GO:0046872
IPR004616	Leucyl/phenylalanyl-tRNA-protein transferase	interpro	family		PTHR30098,MF_00688,TIGR00667,PF03588	GO:0008914,GO:0030163
IPR004641	Ribonuclease HIII	interpro	family		MF_00053,TIGR00716,PIRSF037748	GO:0004523,GO:0016070,GO:0005737
IPR004649	Ribonuclease H2, subunit A	interpro	family		TIGR00729	GO:0004523,GO:0016070
IPR004652	tRNA-dihydrouridine synthase DusB-like	interpro	family		TIGR00737	GO:0016491,GO:0050660,GO:0008033
IPR004653	tRNA-dihydrouridine(20/20a) synthase	interpro	family		PTHR42907,TIGR00742,MF_02041	GO:0017150,GO:0002943
IPR004659	Ribonuclease E/G	interpro	family		PTHR30001,TIGR00757	GO:0003723,GO:0004540,GO:0006396
IPR004802	tRNA pseudouridine synthase B family	interpro	family		TIGR00425,PTHR23127	GO:0006396
IPR004803	tRNA-guanine transglycosylase	interpro	family		MF_00168,TIGR00430	GO:0008479,GO:0101030
IPR004804	tRNA-guanine(15) transglycosylase	interpro	family		MF_01634,TIGR00432	GO:0016763,GO:0006400
IPR004971	mRNA (guanine-N(7))-methyltransferase domain	interpro	domain		PF03291,PS51562	
IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral	interpro	family		PF03293	GO:0003677,GO:0003899,GO:0019083
IPR004974	RNA polymerase-associated transcription specificity factor Rap94	interpro	family		PF03294	GO:0003700
IPR005001	RNA-binding protein Hfq	interpro	family		PF17209,cd01716,PTHR34772,MF_00436,TIGR02383	GO:0003723,GO:0006355
IPR005009	Poxvirus mRNA capping enzyme, small subunit	interpro	family		PF03341	GO:0004482,GO:0006370
IPR005037	Pre-mRNA-splicing factor 38	interpro	family		PF03371,PTHR23142	
IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral	interpro	family		PF03396,PIRSF000746	GO:0003677,GO:0003899,GO:0019083
IPR005093	RNA-directed RNA polymerase beta-chain	interpro	family		PF03431	GO:0003968,GO:0039694
IPR005146	B3/B4 tRNA-binding domain	interpro	domain		SM00873,PF03483	GO:0003723,GO:0004826
IPR005147	tRNA synthetase, B5-domain	interpro	domain		SM00874,PS51483,PF03484	GO:0000287,GO:0003723,GO:0005524,GO:0006432
IPR005148	Arginyl tRNA synthetase N-terminal domain	interpro	domain		SM01016,PF03485	GO:0000166,GO:0004814,GO:0005524,GO:0006420,GO:0005737
IPR005227	Putative pre-16S rRNA nuclease	interpro	family		cd16964,PF03652,PTHR33317,MF_00651,TIGR00250	GO:0006364
IPR005246	O-phosphoseryl-tRNA(Cys) ligase	interpro	family		MF_01674,TIGR00470	GO:0004812,GO:0005524,GO:0043039
IPR005270	tRNA-dihydrouridine synthase, TIM-barrel, NifR3-related	interpro	family		TIGR00736	
IPR005570	DNA-directed RNA polymerases I, II, and III subunit RPABC3	interpro	family		PF03870,SM00658,PIRSF000779,PTHR10917	GO:0003899,GO:0006351
IPR005571	RNA polymerase, Rpb5, N-terminal	interpro	domain		PF03871	GO:0003677,GO:0003899,GO:0006351
IPR005574	RNA polymerase subunit Rpb4/RPC9	interpro	family		PF03874	GO:0006352,GO:0030880
IPR005576	RNA polymerase Rpb7-like , N-terminal	interpro	domain		PF03876	GO:0006351
IPR005580	DEAD box helicase DbpA/CsdA, RNA-binding domain	interpro	domain		PF03880	
IPR005589	Alternative ribosome-rescue factor A	interpro	family		PF03889	GO:0072344
IPR005794	Methionyl-tRNA formyltransferase	interpro	family		MF_00182,TIGR00460	GO:0004479,GO:0071951
IPR005885	tRNA guanine(10)-N2-dimethyltransferase	interpro	family		TIGR01177	GO:0160102,GO:0030488
IPR005912	tRNA pseudouridine synthase, Pus10	interpro	family		MF_01893	GO:0000049,GO:0009982,GO:0001522,GO:0006400
IPR005987	Ribonuclease T	interpro	family		cd06134,MF_00157,TIGR01298	GO:0004540,GO:0006396
IPR006075	Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic	interpro	domain		PF02934	GO:0016874
IPR006110	RNA polymerase, subunit omega/Rpo6/RPB6	interpro	family		SM01409,PF01192	GO:0003677,GO:0003899,GO:0006351
IPR006111	Archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit	interpro	family		PIRSF000778,MF_00192	GO:0003677,GO:0003899,GO:0006351
IPR006151	Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase	interpro	domain		PF01488	
IPR006194	Glycine-tRNA synthetase, heterodimeric	interpro	family		PTHR30075,PS50861	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR006195	Aminoacyl-tRNA synthetase, class II	interpro	domain		PS50862	
IPR006196	RNA-binding domain, S1, IF1 type	interpro	domain		PS50832,PF01176	GO:0003723,GO:0003743,GO:0006413
IPR006292	Ribonuclease D	interpro	family		MF_01899,TIGR01388	GO:0008408,GO:0033890,GO:0008033
IPR006463	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB	interpro	family		SFLDF00273,MF_01864	GO:0016740,GO:0051539,GO:0006400
IPR006466	MiaB-like tRNA modifying enzyme, archaea/eukaryota	interpro	family		TIGR01578	GO:0035598,GO:0035600
IPR006467	MiaB-like tRNA modifying enzyme, bacteria	interpro	family		TIGR01579	GO:0016740
IPR006590	RNA polymerase Rpb4/RPC9, core	interpro	domain		SM00657	
IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4	interpro	family		PF03604,SM00659	GO:0003677,GO:0003899,GO:0006351
IPR006592	RNA polymerase, N-terminal	interpro	domain		SM00663	GO:0003677,GO:0003899,GO:0006351
IPR006641	YqgF/RNase H-like domain	interpro	domain		SM00732	GO:0006139
IPR006676	tRNA-splicing endonuclease	interpro	family		TIGR00324,PTHR21227	GO:0000213,GO:0006388
IPR006677	tRNA intron endonuclease, catalytic domain-like	interpro	domain		cd22363,PF01974	GO:0000213,GO:0006388
IPR006678	tRNA intron endonuclease, N-terminal	interpro	domain		PF02778	GO:0000213,GO:0006388
IPR006700	Ribosomal RNA small subunit methyltransferase E	interpro	family		PIRSF015601,PTHR30027,TIGR00046	GO:0008168,GO:0006364
IPR006811	RNA polymerase II subunit A	interpro	family		PF04722,PTHR20383	GO:0004721,GO:0006397,GO:0005634
IPR006861	Hyaluronan/mRNA-binding protein	interpro	domain		SM01233,PF04774	
IPR006886	DNA-directed RNA polymerase III subunit Rpc5	interpro	family		PTHR12069,PF04801	GO:0006351,GO:0005634
IPR006901	tRNA methyltransferase TrmK	interpro	family		PIRSF018637,PF04816	GO:0160105
IPR006941	Ribonuclease CAF1	interpro	family		PF04857	
IPR006973	Pre-mRNA-splicing factor Cwf15/Cwc15	interpro	family		PF04889,PTHR12718	GO:0000398,GO:0005681
IPR006984	rRNA-processing protein Fcf1/Utp23	interpro	family		PF04900	GO:0032040
IPR007010	Poly(A) polymerase, RNA-binding domain	interpro	domain		PF04926	GO:0003723
IPR007046	RNA polymerase sigma factor 54, core-binding domain	interpro	domain		PF04963	GO:0003677,GO:0006352
