IPR002303	Valine-tRNA ligase  Molecular Function	interpro	family		MF_02004,TIGR00422,PTHR11946,PR00986	GO:0000166,GO:0004832,GO:0005524,GO:0006438
IPR002305	Aminoacyl-tRNA synthetase, class Ic  Molecular Function	interpro	family		PF00579	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002306	Tryptophan-tRNA ligase  Molecular Function	interpro	family		cd00806,PR01039,TIGR00233	GO:0000166,GO:0004830,GO:0005524,GO:0006436
IPR002307	Tyrosine-tRNA ligase  Molecular Function	interpro	family		cd00805,TIGR00234,PR01040	GO:0000166,GO:0004831,GO:0005524,GO:0006437
IPR002310	Glycine-tRNA ligase, alpha subunit  Molecular Function	interpro	family		cd00733,MF_00254,TIGR00388,PF02091,PR01044	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002312	Aspartyl/Asparaginyl-tRNA synthetase, class IIb  Molecular Function	interpro	family		PR01042	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002313	Lysine-tRNA ligase, class II  Molecular Function	interpro	family		MF_00252,TIGR00499	GO:0004824,GO:0005524,GO:0006430
IPR002314	Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)  Molecular Function	interpro	domain		PF00587	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR002315	Glycyl-tRNA synthetase  Molecular Function	interpro	family		TIGR00389	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR002316	Proline-tRNA ligase, class IIa  Molecular Function	interpro	family		PR01046	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR002317	Serine-tRNA ligase, type1  Molecular Function	interpro	family		MF_00176,TIGR00414,PIRSF001529,PTHR11778,PR00981	GO:0000166,GO:0004828,GO:0005524,GO:0006434
IPR002318	Alanine-tRNA ligase, class IIc  Molecular Function	interpro	family		TIGR00344,PR00980	GO:0000166,GO:0005737
IPR002319	Phenylalanyl-tRNA synthetase  Molecular Function	interpro	domain		PF01409	GO:0000049,GO:0004812,GO:0005524,GO:0043039
IPR002320	Threonine-tRNA ligase, class IIa  Molecular Function	interpro	family		MF_00184,TIGR00418,PR01047	GO:0004829,GO:0005524,GO:0006435,GO:0005737
IPR002343	Paraneoplastic encephalomyelitis antigen  Molecular Function	interpro	family		PR00961	GO:0003723,GO:1990904
IPR002381	Ribonuclease PH, bacterial-type  Molecular Function	interpro	family		cd11362,MF_00564,TIGR01966	GO:0000049,GO:0009022,GO:0008033
IPR002508	N-acetylmuramoyl-L-alanine amidase, catalytic domain  Molecular Function	interpro	domain		cd02696,SM00646,PF01520	GO:0008745,GO:0009253
IPR002547	tRNA-binding domain  Molecular Function	interpro	domain		PS50886,PF01588	GO:0000049
IPR002649	tRNA (guanine-N1-)-methyltransferase TrmD  Molecular Function	interpro	family		cd18080,PTHR46417,MF_00605,PIRSF000386,TIGR00088	GO:0052906,GO:0008033
IPR002662	Birnavirus VP2 protein  Molecular Function	interpro	family		PF01766	GO:0005198
IPR002663	Birnavirus VP3 protein  Molecular Function	interpro	family		PF01767	GO:0005198
IPR002680	Alternative oxidase  Molecular Function	interpro	family		cd01053,PTHR31803,PF01786,PIRSF005229	GO:0009916
IPR002775	DNA/RNA-binding protein Alba-like  Molecular Function	interpro	domain		PF01918	GO:0003676
IPR002833	Peptidyl-tRNA hydrolase, PTH2  Molecular Function	interpro	family		cd02430,PF01981,PTHR12649,TIGR00283	GO:0004045
IPR002845	tRNA ribose 2'-O-methyltransferase, aTrm56  Molecular Function	interpro	family		PTHR42197,MF_00077,PF01994,PIRSF016123	GO:0008175,GO:0002128,GO:0005737
IPR002877	Ribosomal RNA methyltransferase, FtsJ domain  Molecular Function	interpro	domain		PF01728	GO:0008168,GO:0032259
IPR002903	Ribosomal RNA small subunit methyltransferase H  Molecular Function	interpro	family		PTHR11265,MF_01007,PF01795,PIRSF004486,TIGR00006	GO:0008168
IPR002904	Lysine-tRNA ligase  Molecular Function	interpro	family		PTHR37940,MF_00177,TIGR00467,PF01921	GO:0000166,GO:0004824,GO:0005524,GO:0006430,GO:0005737
IPR002905	tRNA methyltransferase, Trm1  Molecular Function	interpro	family		PTHR10631,PS51626,PF02005,TIGR00308	GO:0003723,GO:0016423,GO:0008033
IPR002942	RNA-binding S4 domain  Molecular Function	interpro	domain		PF01479,SM00363	GO:0003723
IPR003138	Picornavirus coat protein VP4  Molecular Function	interpro	family		PF02226	GO:0005198,GO:0019028
IPR003358	tRNA (guanine-N-7) methyltransferase, Trmb type  Molecular Function	interpro	family		PS51625,MF_01057,PF02390,PTHR23417,TIGR00091	GO:0008176,GO:0006400
IPR003477	mRNA interferase PemK-like  Molecular Function	interpro	family		PTHR33988,PF02452,PIRSF033490	GO:0003677
IPR003682	rRNA small subunit methyltransferase G  Molecular Function	interpro	family		PTHR31760,MF_00074,PIRSF003078,TIGR00138,PF02527	GO:0008649,GO:0006364,GO:0005737
IPR003699	S-adenosylmethionine:tRNA ribosyltransferase-isomerase, QueA  Molecular Function	interpro	family		PTHR30307,MF_00113,PF02547,TIGR00113	GO:0016740,GO:0016853
IPR003716	DNA-directed RNA polymerase, omega subunit  Molecular Function	interpro	family		PTHR34476,MF_00366,TIGR00690	GO:0003899,GO:0006351
IPR003720	tRNA sulfurtransferase ThiI  Molecular Function	interpro	family		MF_00021	GO:0016783,GO:0034227
IPR003732	D-aminoacyl-tRNA deacylase DTD  Molecular Function	interpro	family		cd00563,MF_00518,PF02580,TIGR00256,PTHR10472	GO:0002161,GO:0051499,GO:0005737
IPR003742	RNA methyltransferase RlmH  Molecular Function	interpro	family		cd18081,PTHR33603,MF_00658,PIRSF004505,TIGR00246,PF02590	GO:0008168,GO:0006364
IPR003789	Aspartyl/glutamyl-tRNA amidotransferase subunit B-like  Molecular Function	interpro	homologous_superfamily		SSF89095	GO:0016884
IPR003954	RNA recognition motif domain, eukaryote  Molecular Function	interpro	domain		SM00361	GO:0003676
IPR004175	RNA 2',3'-cyclic phosphodiesterase  Molecular Function	interpro	family		PTHR35561,TIGR02258,MF_01940	GO:0004113,GO:0008664
IPR004188	Phenylalanine-tRNA ligase, class II, N-terminal  Molecular Function	interpro	domain		PF02912	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004206	mRNA triphosphatase Cet1-like  Molecular Function	interpro	domain		cd07470,PF02940	GO:0004651
IPR004341	CAT RNA-binding domain  Molecular Function	interpro	domain		SM01061,PF03123	GO:0003723
IPR004349	Vanadium/alternative nitrogenase delta subunit  Molecular Function	interpro	family		PF03139	GO:0016163,GO:0009399
IPR004364	Aminoacyl-tRNA synthetase, class II (D/K/N)  Molecular Function	interpro	domain		PF00152	GO:0000166,GO:0004812,GO:0005524,GO:0006418
IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type  Molecular Function	interpro	domain		PF01336	GO:0003676
IPR004383	Ribosomal RNA large subunit methyltransferase RlmN/Cfr  Molecular Function	interpro	family		SFLDF00275,PIRSF006004	GO:0008173,GO:0006364
IPR004384	RNA methyltransferase TrmJ/LasT  Molecular Function	interpro	family		PTHR42786,PIRSF004808,TIGR00050	GO:0008173,GO:0006396
IPR004398	RNA methyltransferase, RsmD  Molecular Function	interpro	family		PTHR43542,PIRSF004553,TIGR00095	GO:0008168,GO:0031167
IPR004412	Glutamyl-tRNA(Gln) amidotransferase A subunit  Molecular Function	interpro	family		MF_00120,TIGR00132	GO:0050567,GO:0006412,GO:0030956
IPR004413	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B  Molecular Function	interpro	family		MF_00121,TIGR00133	GO:0016884
IPR004414	Glutamyl-tRNA(Gln) amidotransferase subunit E  Molecular Function	interpro	family		MF_00588,TIGR00134	GO:0016884
IPR004417	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO  Molecular Function	interpro	family		MF_01037,TIGR00137	GO:0047151,GO:0050660,GO:0008033,GO:0005737
IPR004441	RNA methyltransferase TrmH  Molecular Function	interpro	family		PTHR46429,TIGR00186	GO:0008173,GO:0006396
IPR004466	Ribonuclease M5  Molecular Function	interpro	family		MF_01469,TIGR00334	GO:0043822
IPR004476	Ribonuclease II/ribonuclease R  Molecular Function	interpro	family		TIGR00358	GO:0003723,GO:0004540,GO:0016070
IPR004493	Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic  Molecular Function	interpro	family		PTHR45794,TIGR00395	GO:0000166,GO:0004823,GO:0005524,GO:0006429
IPR004495	Methionyl-tRNA synthetase, beta subunit, C-terminal  Molecular Function	interpro	domain		cd02800,TIGR00399	GO:0000166,GO:0004825,GO:0005524,GO:0006431
IPR004499	Proline-tRNA ligase, class IIa, archaeal-type  Molecular Function	interpro	family		PTHR43382,MF_01571,TIGR00408	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004500	Prolyl-tRNA synthetase, class IIa, bacterial-type  Molecular Function	interpro	family		TIGR00409	GO:0004827,GO:0005524,GO:0006433,GO:0005737
IPR004503	Serine-tRNA ligase type 2, archaea  Molecular Function	interpro	family		MF_01278,TIGR00415	GO:0000166,GO:0004828,GO:0005524,GO:0006434,GO:0005737
IPR004506	tRNA-specific 2-thiouridylase  Molecular Function	interpro	family		cd01998,MF_00144,TIGR00420	GO:0016740,GO:0008033
IPR004512	Ribosomal RNA methyltransferase E, gammaproteobacteria  Molecular Function	interpro	family		TIGR00438	GO:0016436,GO:0006364
IPR004514	Glutamine-tRNA synthetase  Molecular Function	interpro	family		TIGR00440	GO:0000166,GO:0004819,GO:0005524,GO:0006425,GO:0005737
IPR004519	DNA-directed RNA polymerase, subunit E/RPC8  Molecular Function	interpro	family		TIGR00448	GO:0003677,GO:0003899,GO:0006351
IPR004520	tRNA modification GTPase MnmE  Molecular Function	interpro	family		MF_00379,TIGR00450	GO:0003924,GO:0005525,GO:0006400
IPR004522	Asparagine-tRNA ligase  Molecular Function	interpro	family		MF_00534,TIGR00457	GO:0000166,GO:0004816,GO:0005524,GO:0006421
IPR004523	Aspartate-tRNA synthetase, type 2  Molecular Function	interpro	family		MF_02075,PTHR43450,TIGR00458	GO:0000166,GO:0004815,GO:0005524,GO:0006422,GO:0005737
IPR004524	Aspartate-tRNA ligase, type 1  Molecular Function	interpro	family		MF_00044,TIGR00459	GO:0005524,GO:0016874
IPR004526	Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic  Molecular Function	interpro	family		MF_02076,TIGR00463	GO:0000166,GO:0004818,GO:0005524,GO:0006424,GO:0005737
IPR004527	Glutamate-tRNA ligase, bacterial/mitochondrial  Molecular Function	interpro	family		MF_00022,TIGR00464	GO:0000166,GO:0004818,GO:0005524,GO:0006424
IPR004529	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit  Molecular Function	interpro	family		TIGR00468	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004530	Phenylalanyl-tRNA synthetase, class IIc, mitochondrial  Molecular Function	interpro	family		TIGR00469	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archaeal/eukaryotic type  Molecular Function	interpro	family		TIGR00471	GO:0000166,GO:0004826,GO:0005524,GO:0006432,GO:0005737
IPR004532	Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type  Molecular Function	interpro	family		MF_00283,TIGR00472	GO:0000287,GO:0004826,GO:0005524,GO:0006432
IPR004534	L-seryl-tRNA(Sec) selenium transferase  Molecular Function	interpro	family		MF_00423,TIGR00474	GO:0004125,GO:0001514,GO:0005737
IPR004573	rRNA small subunit methyltransferase B  Molecular Function	interpro	family		TIGR00563	GO:0008649,GO:0006364
IPR004613	Ribonuclease J  Molecular Function	interpro	family		TIGR00649	GO:0003723,GO:0046872
IPR004616	Leucyl/phenylalanyl-tRNA-protein transferase  Molecular Function	interpro	family		PTHR30098,MF_00688,TIGR00667,PF03588	GO:0008914,GO:0030163
IPR004641	Ribonuclease HIII  Molecular Function	interpro	family		MF_00053,TIGR00716,PIRSF037748	GO:0004523,GO:0016070,GO:0005737
IPR004649	Ribonuclease H2, subunit A  Molecular Function	interpro	family		TIGR00729	GO:0004523,GO:0016070
IPR004652	tRNA-dihydrouridine synthase DusB-like  Molecular Function	interpro	family		TIGR00737	GO:0016491,GO:0050660,GO:0008033
IPR004653	tRNA-dihydrouridine(20/20a) synthase  Molecular Function	interpro	family		PTHR42907,TIGR00742,MF_02041	GO:0017150,GO:0002943
IPR004659	Ribonuclease E/G  Molecular Function	interpro	family		PTHR30001,TIGR00757	GO:0003723,GO:0004540,GO:0006396
IPR004803	tRNA-guanine transglycosylase  Molecular Function	interpro	family		MF_00168,TIGR00430	GO:0008479,GO:0101030
IPR004804	tRNA-guanine(15) transglycosylase  Molecular Function	interpro	family		MF_01634,TIGR00432	GO:0016763,GO:0006400
IPR004973	DNA-directed RNA polymerase, 18kDa subunit, poxviral  Molecular Function	interpro	family		PF03293	GO:0003677,GO:0003899,GO:0019083
IPR004974	RNA polymerase-associated transcription specificity factor Rap94  Molecular Function	interpro	family		PF03294	GO:0003700
IPR005001	RNA-binding protein Hfq  Molecular Function	interpro	family		PF17209,cd01716,PTHR34772,MF_00436,TIGR02383	GO:0003723,GO:0006355
IPR005009	Poxvirus mRNA capping enzyme, small subunit  Molecular Function	interpro	family		PF03341	GO:0004482,GO:0006370
IPR005059	DNA-directed RNA polymerase, 35kDa subunit, poxviral  Molecular Function	interpro	family		PF03396,PIRSF000746	GO:0003677,GO:0003899,GO:0019083
IPR005093	RNA-directed RNA polymerase beta-chain  Molecular Function	interpro	family		PF03431	GO:0003968,GO:0039694
IPR005146	B3/B4 tRNA-binding domain  Molecular Function	interpro	domain		SM00873,PF03483	GO:0003723,GO:0004826
IPR005147	tRNA synthetase, B5-domain  Molecular Function	interpro	domain		SM00874,PS51483,PF03484	GO:0000287,GO:0003723,GO:0005524,GO:0006432
IPR005148	Arginyl tRNA synthetase N-terminal domain  Molecular Function	interpro	domain		SM01016,PF03485	GO:0000166,GO:0004814,GO:0005524,GO:0006420,GO:0005737
IPR005246	O-phosphoseryl-tRNA(Cys) ligase  Molecular Function	interpro	family		MF_01674,TIGR00470	GO:0004812,GO:0005524,GO:0043039
IPR005570	DNA-directed RNA polymerases I, II, and III subunit RPABC3  Molecular Function	interpro	family		PF03870,SM00658,PIRSF000779,PTHR10917	GO:0003899,GO:0006351
IPR005571	RNA polymerase, Rpb5, N-terminal  Molecular Function	interpro	domain		PF03871	GO:0003677,GO:0003899,GO:0006351
IPR005794	Methionyl-tRNA formyltransferase  Molecular Function	interpro	family		MF_00182,TIGR00460	GO:0004479,GO:0071951
IPR005885	tRNA guanine(10)-N2-dimethyltransferase  Molecular Function	interpro	family		TIGR01177	GO:0160102,GO:0030488
IPR005912	tRNA pseudouridine synthase, Pus10  Molecular Function	interpro	family		MF_01893	GO:0000049,GO:0009982,GO:0001522,GO:0006400
IPR005987	Ribonuclease T  Molecular Function	interpro	family		cd06134,MF_00157,TIGR01298	GO:0004540,GO:0006396
IPR006075	Aspartyl/Glutamyl-tRNA(Gln) amidotransferase, subunit B/E, catalytic  Molecular Function	interpro	domain		PF02934	GO:0016874
IPR006110	RNA polymerase, subunit omega/Rpo6/RPB6  Molecular Function	interpro	family		SM01409,PF01192	GO:0003677,GO:0003899,GO:0006351
IPR006111	Archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit  Molecular Function	interpro	family		PIRSF000778,MF_00192	GO:0003677,GO:0003899,GO:0006351
IPR006194	Glycine-tRNA synthetase, heterodimeric  Molecular Function	interpro	family		PTHR30075,PS50861	GO:0000166,GO:0004820,GO:0005524,GO:0006426,GO:0005737
IPR006196	RNA-binding domain, S1, IF1 type  Molecular Function	interpro	domain		PS50832,PF01176	GO:0003723,GO:0003743,GO:0006413
IPR006292	Ribonuclease D  Molecular Function	interpro	family		MF_01899,TIGR01388	GO:0008408,GO:0033890,GO:0008033
IPR006463	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase MiaB  Molecular Function	interpro	family		SFLDF00273,MF_01864	GO:0016740,GO:0051539,GO:0006400
IPR006466	MiaB-like tRNA modifying enzyme, archaea/eukaryota  Molecular Function	interpro	family		TIGR01578	GO:0035598,GO:0035600
IPR006467	MiaB-like tRNA modifying enzyme, bacteria  Molecular Function	interpro	family		TIGR01579	GO:0016740
IPR006591	RNA polymerase archaeal subunit P/eukaryotic subunit RPABC4  Molecular Function	interpro	family		PF03604,SM00659	GO:0003677,GO:0003899,GO:0006351
IPR006592	RNA polymerase, N-terminal  Molecular Function	interpro	domain		SM00663	GO:0003677,GO:0003899,GO:0006351
IPR006676	tRNA-splicing endonuclease  Molecular Function	interpro	family		TIGR00324,PTHR21227	GO:0000213,GO:0006388
IPR006677	tRNA intron endonuclease, catalytic domain-like  Molecular Function	interpro	domain		cd22363,PF01974	GO:0000213,GO:0006388
IPR006678	tRNA intron endonuclease, N-terminal  Molecular Function	interpro	domain		PF02778	GO:0000213,GO:0006388
IPR006700	Ribosomal RNA small subunit methyltransferase E  Molecular Function	interpro	family		PIRSF015601,PTHR30027,TIGR00046	GO:0008168,GO:0006364
IPR006811	RNA polymerase II subunit A  Molecular Function	interpro	family		PF04722,PTHR20383	GO:0004721,GO:0006397,GO:0005634
IPR006901	tRNA methyltransferase TrmK  Molecular Function	interpro	family		PIRSF018637,PF04816	GO:0160105
IPR007010	Poly(A) polymerase, RNA-binding domain  Molecular Function	interpro	domain		PF04926	GO:0003723
IPR007046	RNA polymerase sigma factor 54, core-binding domain  Molecular Function	interpro	domain		PF04963	GO:0003677,GO:0006352
IPR007066	RNA polymerase Rpb1, domain 3  Molecular Function	interpro	domain		PF04983	GO:0003677,GO:0003899,GO:0006351
IPR007073	RNA polymerase Rpb1, domain 7  Molecular Function	interpro	domain		PF04990	GO:0003677,GO:0003899,GO:0006351
IPR007075	RNA polymerase Rpb1, domain 6  Molecular Function	interpro	domain		PF04992	GO:0003677,GO:0003899,GO:0006351
IPR007080	RNA polymerase Rpb1, domain 1  Molecular Function	interpro	domain		PF04997	GO:0003677,GO:0003899,GO:0006351
IPR007081	RNA polymerase Rpb1, domain 5  Molecular Function	interpro	domain		PF04998	GO:0003677,GO:0003899,GO:0006351
IPR007083	RNA polymerase Rpb1, domain 4  Molecular Function	interpro	domain		PF05000	GO:0003677,GO:0003899,GO:0006351
IPR007094	RNA-directed RNA polymerase, catalytic domain  Molecular Function	interpro	domain		PS50507	GO:0003968,GO:0039694
IPR007096	RNA-directed RNA polymerase, catalytic domain, bacteriophage  Molecular Function	interpro	domain		PS50522	GO:0003968,GO:0019079
IPR007097	RNA-directed RNA polymerase, reovirus  Molecular Function	interpro	domain		PS50523	GO:0003723,GO:0003968,GO:0019079
IPR007099	RNA-directed RNA polymerase, negative-strand RNA virus  Molecular Function	interpro	domain		PS50525	GO:0003968,GO:0039694
IPR007100	Birnavirus RNA-directed RNA polymerase, palm domain  Molecular Function	interpro	domain		PF04197	GO:0003968,GO:0019079
IPR007120	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain  Molecular Function	interpro	domain		PF00562	GO:0003677,GO:0003899,GO:0006351
IPR007121	RNA polymerase, beta subunit, conserved site  Molecular Function	interpro	conserved_site		PS01166	GO:0003677,GO:0003899,GO:0006351
IPR007127	RNA polymerase sigma factor 70, region 1.1  Molecular Function	interpro	domain		PF03979	GO:0003677,GO:0006355
IPR007158	tRNA (pseudouridine(54)-N(1))-methyltransferase, TrmY  Molecular Function	interpro	family		cd18087,PTHR40703,MF_00587,PF04013	GO:0008175
IPR007214	YbaK/aminoacyl-tRNA synthetase-associated domain  Molecular Function	interpro	domain		PF04073	GO:0002161
IPR007306	tRNA A64-2'-O-ribosylphosphate transferase  Molecular Function	interpro	family		PTHR31811,PIRSF007747	GO:0043399,GO:0019988
IPR007322	RNA-dependent RNA polymerase, bunyaviral  Molecular Function	interpro	domain		PF04196	GO:0003968,GO:0006351,GO:0019079
IPR007473	Ribosomal RNA large subunit methyltransferase J  Molecular Function	interpro	family		PF04378,MF_00934,PTHR37426	GO:0008649,GO:0070475
